# Engine name: 
# Sat May 25 10:25:08 2019
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.3000    150.0000      0.0000      1.0000    666.5665   2882.3941     17.4137      1.1820      1.1740   1755.0216    220.1794    261.3241      1.2696      1.4913      0.9444 
     2.3000    160.0000      0.0000      1.0000    666.5665   2885.4847     17.4187      1.1825      1.1747   1756.4845    222.8824    263.0782      1.2837      1.5003      0.9449 
     2.3000    170.0000      0.0000      1.0000    666.5665   2888.3484     17.4233      1.1830      1.1754   1757.8519    225.3683    264.7042      1.2966      1.5086      0.9454 
     2.3000    180.0000      0.0000      1.0000    666.5665   2891.0134     17.4276      1.1835      1.1760   1759.1351    227.6688    266.2206      1.3086      1.5163      0.9458 
     2.3000    190.0000      0.0000      1.0000    666.5665   2893.5028     17.4316      1.1840      1.1766   1760.3437    229.8066    267.6393      1.3197      1.5235      0.9463 
     2.3000    200.0000      0.0000      1.0000    666.5665   2895.8362     17.4354      1.1844      1.1772   1761.4857    231.7999    268.9698      1.3300      1.5302      0.9467 
     2.3000    210.0000      0.0000      1.0000    666.5665   2898.0301     17.4389      1.1849      1.1777   1762.5678    233.6657    270.2218      1.3397      1.5365      0.9471 
     2.3000    220.0000      0.0000      1.0000    666.5665   2900.0986     17.4423      1.1853      1.1782   1763.5958    235.4195    271.4049      1.3487      1.5425      0.9474 
     2.3000    230.0000      0.0000      1.0000    666.5665   2902.0539     17.4454      1.1856      1.1787   1764.5748    237.0715    272.5246      1.3572      1.5481      0.9478 
     2.3000    240.0000      0.0000      1.0000    666.5665   2903.9064     17.4484      1.1860      1.1792   1765.5091    238.6322    273.5868      1.3652      1.5534      0.9481 
     2.3000    250.0000      0.0000      1.0000    666.5665   2905.6654     17.4512      1.1864      1.1796   1766.4025    240.1104    274.5970      1.3728      1.5585      0.9485 
     2.3000    260.0000      0.0000      1.0000    666.5665   2907.3389     17.4539      1.1867      1.1801   1767.2583    241.5139    275.5598      1.3800      1.5633      0.9488 
     2.3000    270.0000      0.0000      1.0000    666.5665   2908.9339     17.4565      1.1870      1.1805   1768.0796    242.8493    276.4793      1.3869      1.5679      0.9491 
     2.3000    280.0000      0.0000      1.0000    666.5665   2910.4566     17.4590      1.1873      1.1809   1768.8689    244.1220    277.3584      1.3934      1.5723      0.9494 
     2.3000    290.0000      0.0000      1.0000    666.5665   2911.9127     17.4613      1.1876      1.1813   1769.6285    245.3375    278.2007      1.3996      1.5765      0.9497 
     2.3000    300.0000      0.0000      1.0000    666.5665   2913.3072     17.4636      1.1879      1.1816   1770.3606    246.5008    279.0094      1.4055      1.5805      0.9499 
     2.3000    310.0000      0.0000      1.0000    666.5665   2914.6443     17.4658      1.1882      1.1820   1771.0670    247.6154    279.7866      1.4112      1.5843      0.9502 
     2.3000    320.0000      0.0000      1.0000    666.5665   2915.9283     17.4678      1.1884      1.1823   1771.7495    248.6848    280.5342      1.4166      1.5880      0.9505 
     2.3000    330.0000      0.0000      1.0000    666.5665   2917.1626     17.4698      1.1887      1.1826   1772.4095    249.7119    281.2541      1.4219      1.5916      0.9507 
     2.3000    340.0000      0.0000      1.0000    666.5665   2918.3506     17.4717      1.1890      1.1829   1773.0486    250.6995    281.9479      1.4269      1.5950      0.9510 
     2.3000    350.0000      0.0000      1.0000    666.5665   2919.4952     17.4736      1.1892      1.1833   1773.6678    251.6505    282.6173      1.4317      1.5983      0.9512 
     2.3000    360.0000      0.0000      1.0000    666.5665   2920.5991     17.4754      1.1894      1.1836   1774.2685    252.5681    283.2650      1.4363      1.6015      0.9515 
     2.3000    370.0000      0.0000      1.0000    666.5665   2921.6647     17.4771      1.1897      1.1838   1774.8515    253.4536    283.8913      1.4408      1.6045      0.9517 
     2.3000    380.0000      0.0000      1.0000    666.5665   2922.6945     17.4788      1.1899      1.1841   1775.4181    254.3091    284.4975      1.4451      1.6075      0.9519 
     2.3000    390.0000      0.0000      1.0000    666.5665   2923.6903     17.4804      1.1901      1.1844   1775.9689    255.1361    285.0847      1.4493      1.6104      0.9521 
     2.3000    400.0000      0.0000      1.0000    666.5665   2924.6541     17.4820      1.1903      1.1847   1776.5049    255.9364    285.6540      1.4534      1.6132      0.9523 
     2.3000    410.0000      0.0000      1.0000    666.5665   2925.5877     17.4835      1.1905      1.1849   1777.0269    256.7115    286.2062      1.4573      1.6159      0.9525 
     2.3000    420.0000      0.0000      1.0000    666.5665   2926.4927     17.4849      1.1907      1.1852   1777.5354    257.4630    286.7426      1.4610      1.6185      0.9527 
     2.3000    430.0000      0.0000      1.0000    666.5665   2927.3706     17.4864      1.1909      1.1854   1778.0312    258.1921    287.2638      1.4647      1.6210      0.9529 
     2.3000    440.0000      0.0000      1.0000    666.5665   2928.2227     17.4877      1.1911      1.1856   1778.5149    258.8999    287.7706      1.4683      1.6235      0.9531 
     2.3000    450.0000      0.0000      1.0000    666.5665   2929.0504     17.4891      1.1913      1.1859   1778.9870    259.5875    288.2637      1.4717      1.6259      0.9533 
     2.3000    460.0000      0.0000      1.0000    666.5665   2929.8548     17.4904      1.1915      1.1861   1779.4482    260.2559    288.7437      1.4751      1.6283      0.9535 
     2.3000    470.0000      0.0000      1.0000    666.5665   2930.6371     17.4917      1.1916      1.1863   1779.8988    260.9067    289.2119      1.4783      1.6305      0.9537 
     2.3000    480.0000      0.0000      1.0000    666.5665   2931.3983     17.4929      1.1918      1.1865   1780.3393    261.5406    289.6686      1.4815      1.6327      0.9539 
     2.3000    490.0000      0.0000      1.0000    666.5665   2932.1394     17.4941      1.1920      1.1867   1780.7702    262.1579    290.1140      1.4846      1.6349      0.9540 
     2.3000    500.0000      0.0000      1.0000    666.5665   2932.8613     17.4953      1.1921      1.1869   1781.1918    262.7595    290.5487      1.4876      1.6370      0.9542 
     2.3000    510.0000      0.0000      1.0000    666.5665   2933.5648     17.4964      1.1923      1.1871   1781.6046    263.3461    290.9730      1.4905      1.6391      0.9544 
     2.3000    520.0000      0.0000      1.0000    666.5665   2934.2507     17.4975      1.1925      1.1873   1782.0089    263.9183    291.3874      1.4934      1.6411      0.9545 
     2.3000    530.0000      0.0000      1.0000    666.5665   2934.9199     17.4986      1.1926      1.1875   1782.4050    264.4768    291.7923      1.4962      1.6430      0.9547 
     2.3000    540.0000      0.0000      1.0000    666.5665   2935.5729     17.4997      1.1928      1.1877   1782.7933    265.0221    292.1882      1.4989      1.6449      0.9549 
     2.3000    550.0000      0.0000      1.0000    666.5665   2936.2104     17.5007      1.1929      1.1879   1783.1741    265.5548    292.5754      1.5016      1.6468      0.9550 
     2.3000    560.0000      0.0000      1.0000    666.5665   2936.8332     17.5017      1.1930      1.1881   1783.5476    266.0756    292.9543      1.5041      1.6486      0.9552 
     2.3000    570.0000      0.0000      1.0000    666.5665   2937.4417     17.5027      1.1932      1.1882   1783.9141    266.5847    293.3251      1.5067      1.6504      0.9553 
